organization,contact,title,email,vertical,notes
UNITED ASSOCIATION OF JOURNEYMEN & APPRENTICES OF THE PLUMBING & PIPE,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association; keyword: apprentice. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $6,452,994; source LMS score 70/100."
YOUNG WOMENS CHRISTIAN ASSOCIATION OF PITTSBURGH,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $6,113,900; source LMS score 70/100."
UNITED ASSOCIATION OF JOURNEYMEN & APPRENTICES OF THE PLUMBING & PIPE,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association; keyword: apprentice. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Coraopolis, PA; annual revenue $5,563,516; source LMS score 70/100."
PENNSYLVANIA INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS,,,,Credentialing / certification,"assets >$10M; revenue >$5M; priority segment; keyword: certif; keyword: institute. Likely motion: certification/credentialing programs; assessment/reporting. Brightspace angle: Credential prep, continuing education, certification workflows, learner records, and audit-ready reporting. Context: Philadelphia, PA; annual revenue $6,202,045; source LMS score 69/100."
PENNSYLVANIA PSYCHIATRIC INSTITUTE,,,,Association / member organization,"assets >$10M; revenue >$25M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Hershey, PA; annual revenue $32,540,867; source LMS score 67/100."
ADVANCED ROBOTICS FOR MANUFACTURING INSTITUTE,,,,Association / member organization,"assets >$10M; revenue >$25M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $31,939,842; source LMS score 67/100."
HOLY FAMILY INSTITUTE,,,,Association / member organization,"assets >$10M; revenue >$25M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $28,706,912; source LMS score 67/100."
THE CHILDRENS INSTITUTE OF PITTSBURGH,,,,Association / member organization,"assets >$10M; revenue >$25M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $25,865,631; source LMS score 67/100."
RODALE INSTITUTE,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Kutztown, PA; annual revenue $15,794,542; source LMS score 67/100."
AMERICAN LAW INSTITUTE,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $13,626,010; source LMS score 67/100."
CHILDRENS INSTITUTE FOUNDATION,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $8,614,628; source LMS score 67/100."
PHILADELPHIA MUSEUM OF ART,,,,Museum / cultural education,"assets >$50M; revenue >$25M; adjacent education segment; keyword: museum. Likely motion: public/member education programs. Brightspace angle: Education programming for members, volunteers, educators, and public learning audiences. Context: Philadelphia, PA; annual revenue $94,551,536; source LMS score 66/100."
BRANDYWINE CONSERVANCY & MUSEUM OF ART,,,,Museum / cultural education,"assets >$50M; revenue >$25M; adjacent education segment; keyword: museum. Likely motion: public/member education programs. Brightspace angle: Education programming for members, volunteers, educators, and public learning audiences. Context: Chadds Ford, PA; annual revenue $42,707,848; source LMS score 66/100."
MUSEUM OF THE AMERICAN REVOLUTION,,,,Museum / cultural education,"assets >$50M; revenue >$25M; adjacent education segment; keyword: museum. Likely motion: public/member education programs. Brightspace angle: Education programming for members, volunteers, educators, and public learning audiences. Context: Philadelphia, PA; annual revenue $33,091,880; source LMS score 66/100."
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,,,,Education,"assets >$50M; revenue >$25M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $11,670,540,000; source LMS score 64/100."
HIGHMARK HEALTH,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Pittsburgh, PA; annual revenue $6,059,666,088; source LMS score 64/100."
LEHIGH VALLEY HOSPITAL,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Allentown, PA; annual revenue $4,266,690,493; source LMS score 64/100."
THE CHILDRENS HOSPITAL OF PHILADELPHIA,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Philadelphia, PA; annual revenue $4,165,576,231; source LMS score 64/100."
UNIVERSITY OF PITTSBURGH,,,,Education,"assets >$50M; revenue >$25M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Pittsburgh, PA; annual revenue $3,574,990,567; source LMS score 64/100."
GEISINGER HEALTH PLAN,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Danville, PA; annual revenue $3,175,815,149; source LMS score 64/100."
MILTONS S HERSHEY MEDICAL CENTER,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Hershey, PA; annual revenue $3,022,537,247; source LMS score 64/100."
THOMAS JEFFERSON UNIVERSITY HOSPITAL,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Philadelphia, PA; annual revenue $2,987,121,392; source LMS score 64/100."
HEALTH PARTNERS PLANS INC,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Philadelphia, PA; annual revenue $2,601,819,990; source LMS score 64/100."
CARNEGIE MELLON UNIVERSITY,,,,Education,"assets >$50M; revenue >$25M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Pittsburgh, PA; annual revenue $2,498,102,199; source LMS score 64/100."
GEISINGER MEDICAL CENTER,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Danville, PA; annual revenue $2,019,451,285; source LMS score 64/100."
YORK HOSPITAL,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: York, PA; annual revenue $1,967,544,974; source LMS score 64/100."
GEISINGER CLINIC,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Danville, PA; annual revenue $1,913,273,917; source LMS score 64/100."
MAIN LINE HOSPITALS INC,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Radnor, PA; annual revenue $1,876,580,310; source LMS score 64/100."
LANCASTER GENERAL HOSPITAL,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Lancaster, PA; annual revenue $1,840,325,876; source LMS score 64/100."
ST LUKES HOSPITAL,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Allentown, PA; annual revenue $1,788,643,219; source LMS score 64/100."
